Sutton et al,author,year,g1.r1,g1.r0,g1.n,g0.r1,g0.r0,g0.n
1,author 1,1992,28,176,204,51,151,202
2,author 2,1962,70,215,285,38,109,147
3,author 3,1963,37,119,156,40,79,119
4,author 4,1981,2,86,88,3,27,30
5,author 5,1969,0,30,30,3,30,33
6,author 6,1988,61,218,279,82,194,276
7,author 7,1970,41,165,206,55,151,206
8,author 8,1965,20,103,123,24,105,129
9,author 9,1989,111,907,1018,113,902,1015
10,author 10,1968,81,346,427,27,116,143
11,author 11,1971,31,213,244,51,202,253
12,author 12,1961,17,33,50,12,38,50
13,author 13,1972,23,24,47,20,28,48
14,author 14,1992,0,30,30,4,56,60
15,author 15,1975,1025,4527,5552,723,2066,2789
16,author 16,1969,174,250,424,178,244,422
17,author 17,1968,28,171,199,31,163,194
18,author 18,1971,42,308,350,48,319,367
19,author 19,1991,4,75,79,5,73,78
20,author 20,1978,37,1112,1149,48,1081,1129
21,author 21,1978,39,182,221,28,209,237
22,author 22,1965,8,46,54,1,25,26
23,author 23,1984,5,66,71,7,65,72
24,author 24,1989,269,4272,4541,248,4268,4516
25,author 25,1990,49,372,421,62,355,417
26,author 26,1987,0,94,94,1,93,94
27,author 27,1993,19,292,311,12,305,317
28,author 28,1984,68,1838,1906,71,1829,1900
29,author 29,1987,44,2007,2051,43,1987,2030
30,author 30,1991,33,6549,6582,3,1660,1663
31,author 31,1978,236,5095,5331,181,5115,5296
32,author 32,1990,0,48,48,1,48,49
33,author 33,1990,1,93,94,0,52,52
34,author 34,1973,1,22,23,2,27,29
