Site,HABITAT,GST,EYR,GF,BTH,GWH,WTTR,WEHE,WNHE,SFW,WBSW,CR,LK,RWB,AUR,STTH,LR,WPHE,YTH,ER,PCU,ESP,SCR,RBFT,BFCS,WAG,WWCH,NHHE,VS,CST,BTR,AMAG,SCC,RWH,WSW,STP,YFHE,WHIP,GAL,FHE,BRTH,SPP,SIL,GCU,MUSK,MGLK,BHHE,RFC,YTBC,LYRE,CHE,OWH,TRM,MB,STHR,LHE,FTC,PINK,OBO,YR,LFB,SPW,RBTR,DWS,BELL,LWB,CBW,GGC,PIL,SKF,RSL,PDOV,CRP,JW,BCHE,RCR,GBB,RRP,LLOR,YTHE,RF,SHBC,AZKF,SFC,YRTH,ROSE,BCOO,LFC,WG,PCOO,WTG,NMIN,NFB,DB,RBEE,HBC,DF,PCL,FLAME,WWT,WBWS,LCOR,KING
Reedy Lake,Mixed,3.4,0,0,0,0,0,0,11.9,0.4,0,1.1,3.8,9.7,0,0,4.8,27.3,0,5.1,0,0,0,0,0.6,1.9,0,0,0,1.7,12.5,8.6,12.5,0.6,0,4.8,0,0,4.8,26.2,0,0,0,0,13.1,1.7,1.1,0,0,0,0,0,15,0,0,0,0,0,0,0,2.9,0,0,0.4,0,0,0,0,0,1.9,6.7,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.2,0,0,0,0,0,9.1,0,0,0,0,0
Pearcedale,Gipps.Manna,3.4,9.2,0,0,0,0,0,11.5,8.3,12.6,0,0.5,11.6,0,0,3.7,27.6,0,2.7,0,3.7,0,1.1,1.1,3.4,0,6.9,0,0.9,0,0,0,2.3,5.7,0,1.1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warneet,Gipps.Manna,8.4,3.8,0.7,2.8,0,0,10.7,12.3,4.9,10.7,0,1.9,16.6,2.3,2.8,5.5,27.5,0,5.3,0,0,0,0,1.5,2.1,0,3,0,1.5,0,0,0,1.4,24.3,3.1,11.7,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,1.8,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0
Cranbourne,Gipps.Manna,3,5,0,5,2,0,3,10,6.9,12,0,2,11,1.5,0,11,20,0,2.1,0,2,0,5,1.4,3.4,0,32,0,1.4,0,0,0,0,10,4,0,0,2.8,0,0,0.8,0,0,0,1.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,0,4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0
Lysterfield,Mixed,5.6,5.6,12.9,12.2,9.5,2.1,7.9,28.6,9.2,5,19.1,3.6,5.7,8.8,7,1.6,0,0,1.4,0,3.5,0.7,0,2.7,0,0,6.4,0,0,0,0,0,7,0,0,6.1,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,1.4,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Hill,Mixed,8.1,4.1,10.9,24.5,5.6,6.7,9.4,6.7,0,8.9,12.1,6.7,2.7,0,16.8,3.4,0,0,2.2,0,3.4,0,0.7,2,0,0,2.2,5.4,0,0,0,0,6.8,0,0,0,0,0,0,0,3.4,2.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devilbend,Mixed,8.3,7.1,6.9,29.1,4.2,2,7.1,27.4,13.1,2.8,0,2.8,2.4,2.8,13.9,0,16.7,0,0,0,5.5,0,0,3.6,0,0,5.6,5.6,4.6,0,0,0,7.3,3.6,2.4,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olinda,Mixed,4.6,5.3,11.1,28.2,3.9,6.5,2.6,10.9,3.1,8.6,9.3,3.8,0.6,1.3,10.2,0,0,0,1.2,0,5.1,0,0.7,0,0,0,0,1.9,0,0,0,0,9.1,0,0,0,2,0,0,0,2,0,2.6,0,0,0,0,1.9,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2,0.7,1.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fern Tree Gum,Montane Forest,3.2,5.2,8.3,18.2,3.8,4.2,2.8,9,3.8,5.6,14.1,3.2,0,0,12.2,0.6,0,0,1.3,2.8,7.1,0,1.9,0.6,0,0,0,4.2,0,0,0,0,4.5,0,0,0,3.2,0,0,0,2.6,4.9,1.3,0,0,0,0,2.6,0.6,0.6,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,0,0.6,0,0,0,3.2,1.3,0,1.9,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherwin,Foothills Woodland,4.6,1.2,4.6,6.5,2.3,5.2,0.6,3.6,3.8,3,7.5,2.4,0.6,0,11.3,5.8,0,9.6,2.3,2.9,0.6,3,0,1.2,0,9.8,0,5.1,0,0,0,0,6.3,0,3.5,2.3,0,0,0,6,4.2,1.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1.7,0,1.2,0,0,0,0.6,0,0,0,0.6,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
